GENERATION,BEST,AVG,WORST
0,-155264.02,-214736.4,-289524.15
1,-137471.92,-204655.01,-273640.56
2,-140345.71,-200650.05,-279268.35
3,-133400.4,-189383.65,-262339.87
4,-128822.31,-182994.09,-287322.69
5,-125565.7,-179368.55,-271121.55
6,-120003.68,-177099.68,-262876.55
7,-109463.89,-169451.33,-257675.95
8,-114129.53,-163773.08,-252547.99
9,-111023.68,-159872.66,-246151.79
10,-110454.08,-159481.64,-245880.47
11,-105265.69,-156972.73,-252166.79
12,-101566.14,-156537.82,-239447.92
13,-107698.83,-151504.64,-236916.7
14,-105351.36,-150601.76,-249332.7
15,-103400.56,-151940.0,-242395.47
16,-100804.04,-150230.5,-233395.2
17,-98854.29,-146156.0,-234584.57
18,-99097.59,-144684.1,-243944.16
19,-99126.89,-140701.84,-236692.22
20,-96448.97,-133686.41,-218768.89
21,-96747.17,-127256.15,-228510.38
22,-92552.88,-124522.85,-225234.85
23,-92282.75,-122798.59,-203937.43
24,-90742.63,-121988.95,-205670.49
25,-87484.73,-121520.49,-220352.07
26,-85513.53,-120407.33,-217711.78
27,-80709.33,-120359.25,-192923.28
28,-80709.33,-112934.98,-183320.52
29,-80709.33,-112132.03,-199039.72
30,-80709.33,-110472.37,-192437.82
31,-80709.33,-109072.34,-197141.87
32,-77917.59,-110113.13,-195200.92
33,-75419.71,-104940.0,-220349.52
34,-75419.71,-104846.23,-204662.76
35,-74726.89,-105065.32,-194166.28
36,-73232.75,-104041.79,-187411.16
37,-72091.46,-100487.58,-217478.57
38,-73232.75,-100428.07,-195345.87
39,-69410.41,-98227.18,-191687.58
40,-68566.89,-95258.06,-182262.65
41,-68566.89,-94781.69,-192817.88
42,-67678.71,-91031.0,-166113.84
43,-65916.69,-89843.36,-183712.12
44,-65916.69,-88345.02,-161582.48
45,-65221.9,-88364.06,-175713.55
46,-65372.93,-86242.2,-166551.43
47,-64485.3,-86021.6,-153601.59
48,-63921.71,-85258.79,-182882.68
49,-63246.19,-82528.81,-179992.8
50,-63085.33,-83245.38,-203671.35
51,-62437.63,-83379.2,-155768.18
52,-60427.95,-81897.54,-156844.19
53,-59406.35,-78892.89,-169785.93
