GENERATION,BEST,AVG,WORST
0,-1541890.42,-1673096.6,-1827994.69
1,-1509453.0,-1635683.15,-1812575.66
2,-1495936.57,-1593549.73,-1744213.57
3,-1493420.69,-1568976.19,-1704133.43
4,-1456220.39,-1539719.69,-1697031.73
5,-1451769.25,-1520807.89,-1648209.84
6,-1426158.47,-1507734.04,-1642455.35
7,-1432202.14,-1493523.81,-1602759.07
8,-1412572.69,-1467388.82,-1545768.44
9,-1408853.08,-1457411.68,-1562105.72
10,-1386354.93,-1451212.88,-1534262.83
11,-1363832.98,-1446871.74,-1541499.91
12,-1382840.28,-1432091.03,-1511713.43
13,-1364982.2,-1426545.58,-1567973.39
14,-1348002.58,-1416192.66,-1523859.35
15,-1344061.04,-1403192.97,-1481863.6
16,-1336669.56,-1394353.56,-1461616.16
17,-1329688.04,-1391734.77,-1473795.42
18,-1331298.38,-1388853.81,-1465446.25
19,-1312754.01,-1381174.96,-1465735.77
20,-1292083.62,-1376545.23,-1465987.27
21,-1277630.55,-1361623.82,-1466903.91
22,-1282805.71,-1346900.1,-1465869.45
23,-1278851.26,-1338679.69,-1403124.36
24,-1262997.9,-1332393.62,-1414652.03
25,-1259250.69,-1324828.56,-1420369.7
26,-1272040.21,-1319643.38,-1387898.69
27,-1258405.23,-1324396.1,-1386071.95
28,-1261152.44,-1317709.33,-1378274.24
29,-1256929.12,-1319173.48,-1399235.56
30,-1256686.16,-1315939.36,-1432344.74
31,-1256013.92,-1312307.18,-1428797.7
32,-1253889.37,-1318637.01,-1448060.97
33,-1254908.76,-1315960.35,-1391577.65
34,-1251068.14,-1314951.83,-1411430.17
35,-1258685.25,-1322334.19,-1433123.76
36,-1253370.67,-1317050.59,-1458537.74
37,-1247935.86,-1315033.31,-1441636.46
38,-1229073.93,-1306623.36,-1403858.28
39,-1224316.5,-1304839.57,-1401103.63
40,-1237112.16,-1305513.36,-1388158.29
41,-1239654.64,-1302864.17,-1441775.13
42,-1237340.0,-1303932.66,-1390688.45
43,-1229706.75,-1301520.39,-1398206.52
44,-1219091.46,-1294133.35,-1398206.52
45,-1234315.48,-1291405.56,-1406414.62
46,-1230184.28,-1287849.91,-1436055.0
47,-1227029.7,-1292302.97,-1388610.61
48,-1228660.11,-1303473.81,-1385553.36
49,-1217842.36,-1310625.31,-1406028.63
50,-1239468.17,-1314263.73,-1427590.42
51,-1252169.49,-1315177.68,-1412276.3
52,-1223269.87,-1326041.96,-1413749.1
53,-1261236.12,-1331156.33,-1426676.15
54,-1259432.07,-1328120.14,-1451536.0
55,-1262334.68,-1313210.64,-1453464.25
56,-1255563.22,-1320095.54,-1435883.05
57,-1248368.68,-1318361.89,-1426868.66
58,-1247521.39,-1311855.87,-1416527.94
59,-1249702.66,-1310201.84,-1389319.59
60,-1245542.1,-1314440.16,-1451192.23
61,-1244139.5,-1305579.7,-1385158.91
62,-1242074.53,-1306991.25,-1388701.24
63,-1236228.24,-1302957.46,-1384836.9
64,-1226916.46,-1297608.15,-1383312.48
65,-1223450.51,-1299663.19,-1390842.51
66,-1224059.47,-1291170.13,-1407429.22
67,-1220161.01,-1277741.17,-1382672.25
68,-1218893.36,-1271462.76,-1367789.93
69,-1209931.01,-1266330.9,-1360896.03
70,-1210968.46,-1273844.18,-1353494.36
71,-1205990.34,-1275275.73,-1408095.47
72,-1212860.94,-1270567.56,-1360166.48
73,-1198320.97,-1271310.91,-1379395.49
74,-1202421.66,-1274401.2,-1407870.31
75,-1218383.91,-1279244.26,-1375366.22
76,-1214162.52,-1280177.24,-1331700.56
77,-1209604.29,-1280108.44,-1375803.89
78,-1178561.79,-1277274.95,-1357514.66
79,-1199982.22,-1270610.17,-1375671.09
80,-1177992.87,-1264438.58,-1366431.9
81,-1175933.62,-1252052.76,-1360598.47
82,-1170175.7,-1252621.66,-1371381.36
83,-1164935.71,-1246789.44,-1362249.88
84,-1168068.83,-1232377.8,-1371656.64
85,-1174121.72,-1224703.13,-1370784.1
86,-1164138.48,-1224620.13,-1344594.7
87,-1156936.14,-1222992.49,-1376543.24
88,-1147761.78,-1212338.48,-1328774.16
89,-1150966.19,-1210806.91,-1373566.64
90,-1145638.18,-1212207.68,-1378970.03
91,-1139640.25,-1211948.18,-1290885.76
92,-1144488.77,-1213642.11,-1303762.49
93,-1148880.85,-1205733.43,-1319779.75
94,-1161217.98,-1211220.76,-1341965.88
95,-1151167.24,-1220011.13,-1308229.74
96,-1140248.22,-1224322.86,-1288826.52
97,-1146691.35,-1226093.02,-1322032.46
98,-1144769.28,-1228346.28,-1334331.2
99,-1144064.12,-1226132.39,-1327685.81
100,-1145511.27,-1227100.03,-1337098.15
