GENERATION,BEST,AVG,WORST
0,106991.02,101270.91,90089.28
1,109309.29,102227.46,94037.2
2,110515.43,103763.07,90776.27
3,110714.74,103747.05,90450.39
4,112071.69,106005.93,94051.68
5,114199.88,105951.15,93195.48
6,115487.04,107125.64,91514.18
7,116062.09,108011.46,91642.56
8,116367.08,109489.73,94102.67
9,117394.94,107988.8,92056.28
10,118265.71,110955.66,89662.52
11,118827.9,108037.74,93452.63
12,119292.68,109032.59,91329.98
13,119386.39,111543.36,92367.28
14,120099.7,111695.81,93963.58
15,120142.74,111214.81,93154.58
16,120501.48,111019.05,94536.85
17,120966.33,111727.5,92396.25
18,121299.41,111692.06,92643.4
19,121571.67,114007.13,92673.06
20,121646.32,113625.36,89417.03
21,121820.31,112901.98,89026.51
22,122123.25,113122.6,91794.36
23,122540.39,113238.24,89445.2
24,122966.81,114780.35,92835.16
25,123074.09,113521.89,90103.04
26,123074.09,116448.68,93028.23
27,123350.38,115058.02,91103.4
28,123781.76,116403.88,92957.12
29,123854.06,115657.31,90763.22
30,124050.78,114064.26,94393.62
31,124123.65,114500.23,91436.51
32,124542.47,115631.15,91550.04
33,124544.78,116389.38,88983.98
34,124544.78,113390.24,92453.21
35,124835.48,116372.78,90343.77
36,124544.78,109905.78,90806.44
37,124711.29,111665.95,93085.91
38,124848.9,112879.07,91929.83
39,124953.47,116683.4,91743.19
40,124874.74,114455.06,87851.53
41,124989.12,116567.63,91715.07
42,124989.12,117964.69,95497.51
43,124989.12,115533.37,91029.21
44,124989.12,113048.59,91607.19
45,125091.21,113357.63,93754.33
46,124989.12,115402.71,93407.15
47,124989.12,116867.78,89077.83
48,125415.74,116932.32,91767.68
49,125120.48,113498.37,92508.32
50,125554.3,117248.05,91941.22
51,125472.87,114801.79,90964.91
52,125815.23,114745.65,93459.99
53,126004.16,114285.57,94051.03
54,126145.36,116696.29,93201.63
55,126334.28,117556.22,92525.83
56,126334.28,118407.03,91756.39
57,126371.94,117048.4,93140.52
58,126387.79,117665.16,91023.84
59,126436.13,116086.55,92192.29
60,126537.0,115523.78,94036.97
61,126711.9,115920.24,92106.68
62,126972.55,118026.91,92960.09
63,126867.06,116707.4,93888.6
64,126867.06,116624.26,90854.58
65,127000.73,114953.23,93179.1
66,127059.86,116830.27,92987.46
67,127126.13,115113.0,89400.93
68,127163.11,119149.33,90173.46
69,127311.61,115689.28,92250.32
70,127254.02,118311.3,93646.19
71,127254.02,119339.44,91491.41
72,127350.19,120641.71,93441.73
73,127350.19,115959.38,93155.07
74,127416.07,117101.34,92249.52
75,127551.72,116954.32,93448.64
76,127416.07,116112.6,94095.82
77,127416.07,117402.71,93118.31
78,127595.71,120263.71,93590.09
79,127595.71,119669.09,93431.6
80,127595.71,116538.67,92712.03
81,127595.71,117269.23,91381.57
82,127595.71,118967.86,91855.63
83,127595.71,117486.59,91638.66
84,127595.71,117417.53,93106.25
85,127595.71,118182.17,91356.57
86,127595.71,115330.35,94797.64
87,127595.71,118141.66,92027.4
88,127595.71,118346.11,90304.35
89,127595.71,119851.89,93083.55
90,127650.77,120751.41,91361.92
91,127692.69,120043.5,93417.05
92,127692.69,117729.0,92800.9
93,127681.27,115887.12,91452.37
94,127707.19,118877.27,93365.15
95,127783.33,117602.19,93400.62
96,127783.33,118584.06,94231.05
97,127785.17,118047.61,91076.37
98,127785.17,120657.6,94033.99
99,127785.17,116340.71,90201.15
100,128036.64,117270.44,92011.35
