GENERATION,BEST,AVG,WORST
0,-3303.0,-5678.89,-17182.24
1,-3298.66,-13669.36,-33014.38
2,-2815.59,-4152.93,-37927.22
3,-2381.23,-6503.31,-17793.06
4,-2381.23,-9030.51,-19747.42
5,-2381.23,-2825.01,-12726.62
6,-2260.94,-2896.71,-15960.79
7,-2260.94,-4082.66,-21099.45
8,-2239.42,-2753.11,-24703.05
9,-2239.42,-8408.0,-24064.61
10,-2015.19,-3331.03,-24106.75
11,-2015.19,-4282.77,-18980.39
12,-2015.19,-2322.68,-21895.76
13,-2015.19,-2726.51,-21895.76
14,-2015.19,-2591.82,-21895.76
15,-1871.15,-2324.06,-12754.03
16,-1482.84,-3811.9,-10045.89
17,-1482.84,-3411.14,-12577.17
18,-1482.84,-2247.65,-15657.65
19,-1482.84,-2097.34,-11145.27
20,-1482.84,-2980.52,-32035.6
21,-1482.84,-1853.05,-12577.17
22,-1482.84,-2036.07,-25728.35
23,-1482.84,-1749.62,-12577.17
24,-1482.84,-1867.83,-11023.11
25,-1482.84,-1995.87,-15657.65
26,-1482.84,-2162.74,-32035.6
27,-1482.84,-1711.12,-11023.11
28,-1482.84,-2245.35,-15602.14
29,-1482.84,-2076.69,-15657.65
30,-1482.84,-2313.69,-32035.6
31,-1482.84,-2122.4,-25728.35
32,-1482.84,-1780.57,-15602.14
33,-1482.84,-2176.46,-15602.14
34,-1482.84,-1792.1,-12577.17
35,-1482.84,-2317.58,-15657.65
36,-1482.84,-2706.84,-25728.35
37,-1482.84,-1754.53,-9465.96
38,-1482.84,-2157.1,-25533.3
39,-1482.84,-2060.34,-32035.6
40,-1482.84,-2473.23,-32035.6
41,-1482.84,-2022.83,-32035.6
42,-1482.84,-1639.94,-8134.67
43,-1482.84,-2457.06,-32035.6
44,-1482.84,-1675.63,-8971.23
45,-1482.84,-1654.89,-8134.67
46,-1482.84,-1600.04,-8416.41
47,-1482.84,-2073.94,-32035.6
48,-1482.84,-1907.01,-12526.96
49,-1482.84,-1741.87,-11023.11
50,-1482.84,-1987.8,-15602.14
51,-1482.84,-2565.67,-32035.6
52,-1482.84,-2118.06,-25533.3
53,-1482.84,-2434.36,-25728.35
54,-1482.84,-1963.13,-25533.3
55,-1482.84,-1630.94,-4761.91
56,-1482.84,-1694.38,-8720.73
57,-1482.84,-2203.96,-25533.3
58,-1482.84,-1760.14,-12260.7
59,-1482.84,-1930.43,-25728.35
60,-1482.84,-2436.88,-25728.35
61,-1482.84,-1798.2,-15657.65
62,-1482.84,-1906.8,-25533.3
63,-1482.84,-1950.41,-12577.17
64,-1482.84,-1777.18,-12260.7
65,-1482.84,-1912.14,-15602.14
66,-1482.84,-1885.68,-15657.65
67,-1482.84,-1724.81,-11145.27
68,-1482.84,-1709.03,-8971.23
69,-1482.84,-1729.39,-8971.23
70,-1482.84,-1894.64,-12577.17
71,-1482.84,-1835.82,-11023.11
72,-1482.84,-2074.67,-15602.14
73,-1482.84,-2537.85,-32035.6
74,-1482.84,-1987.36,-15668.44
75,-1482.84,-1865.38,-15602.14
76,-1482.84,-2848.4,-25728.35
77,-1482.84,-1675.68,-11145.27
78,-1482.84,-1782.29,-5732.25
79,-1482.84,-2157.27,-25728.35
80,-1482.84,-1941.92,-14251.55
81,-1482.84,-1974.81,-25728.35
82,-1482.84,-2299.22,-25533.3
83,-1482.84,-1778.28,-11145.27
84,-1482.84,-2505.11,-15602.14
85,-1482.84,-2460.38,-25728.35
86,-1482.84,-1936.42,-11145.27
87,-1482.84,-1834.4,-15657.65
88,-1482.84,-2153.43,-27469.57
89,-1482.84,-2193.72,-35771.06
90,-1482.84,-1931.25,-12577.17
91,-1482.84,-1729.54,-8720.73
92,-1482.84,-2529.38,-25728.35
93,-1482.84,-2329.85,-25728.35
94,-1482.84,-1679.2,-5335.75
95,-1482.84,-1853.49,-12577.17
96,-1482.84,-1685.94,-15602.14
97,-1482.84,-1618.51,-8134.67
98,-1482.84,-1726.56,-9465.96
99,-1482.84,-2582.59,-32035.6
100,-1482.84,-1544.54,-3229.52
